"","D1a","D1b","D2a","D2b","D4a","D4b","D7a","D7b"
"OTU113",0.00041475490577287,0.000668993600930774,0,0,0,0.000244995100097998,0.000146070698217937,7.28862973760933e-05
"OTU114",0.00121834253570781,0.00110529377545084,0.0021737119600407,0.00433987498976445,0.000930316307544565,0.00433991320173597,0.0051416885772714,0.00583090379008746
"OTU115",0,0,0,0,0.000120040813876718,0,0.00011685655857435,0
"OTU116",0,0,0,0,0,6.99986000279994e-05,0,3.64431486880466e-05
"OTU117",2.59221816108044e-05,0,0,0.000245653301307421,0.000210071424284257,0.000174996500069999,0.000730353491089687,0.000911078717201166
"OTU118",0.000103688726443217,8.7260034904014e-05,0.000693737859587457,0.000682370281409504,3.00102034691795e-05,0.000104997900041999,0,3.64431486880466e-05
"OTU119",2.59221816108044e-05,0,0,2.72948112563802e-05,0.000150051017345898,3.49993000139997e-05,0.0009348524685948,0.000255102040816327
"OTU120",0,0,0,0,3.00102034691795e-05,3.49993000139997e-05,0.00464504820333041,0.0005466472303207
"OTU121",0.00230707416336159,0.00267597440372309,0.00707612616779206,0.00947129950596392,0.000450153052037693,0.000349993000139997,0.000438212094653812,0.000255102040816327
"OTU122",0.000129610908054022,8.7260034904014e-05,0.000138747571917491,0.000109179245025521,0,0,0,0
"OTU123",0.000233299634497239,0.00029086678301338,4.62491906391638e-05,0.000163768867538281,0.000180061220815077,3.49993000139997e-05,0.000146070698217937,0
"OTU124",7.77665448324131e-05,0.000116346713205352,0.000369993525113311,0.000272948112563802,0.000720244883260309,0.00129497410051799,0.00081799591002045,0.000983965014577259
"OTU125",0.000129610908054022,2.9086678301338e-05,0.00110998057533993,0.00283866037066354,6.0020406938359e-05,0.000139997200055999,0.000379783815366637,0.000983965014577259
"OTU126",7.77665448324131e-05,0,4.62491906391638e-05,0.000163768867538281,0,0,0,0
"OTU127",0,0.00014543339150669,9.24983812783276e-05,0.00717853536042798,0.000270091831222616,0.0400391992160157,0.0028045574057844,0.0300291545189504
"OTU128",0,0,0,0,0,6.99986000279994e-05,0.000292141396435875,0.000911078717201166
"OTU129",0,0,0,0,0,0.000139997200055999,0.00128542214431785,0.000692419825072886
"OTU130",0,0,0,0,0,6.99986000279994e-05,0.00157756354075372,7.28862973760933e-05
"OTU131",0,2.9086678301338e-05,0.000138747571917491,0,0.000510173458976052,0.000104997900041999,0.00160677768039731,0.000145772594752187
"OTU132",0.000103688726443217,5.8173356602676e-05,4.62491906391638e-05,0.000900728771460545,0.000120040813876718,0.000874982500349993,0.00035056967572305,0.00065597667638484
"OTU133",0,0,0,0,0.000270091831222616,6.99986000279994e-05,2.92141396435875e-05,0
"OTU134",0,5.8173356602676e-05,4.62491906391638e-05,0,0,0.000979980400391992,0,0.000983965014577259
"OTU135",0,0,4.62491906391638e-05,0,6.0020406938359e-05,3.49993000139997e-05,0.000555068653228162,0
"OTU136",0,0,0,0,0,0.000699986000279994,8.76424189307625e-05,0.00291545189504373
"OTU137",0,0,0.000138747571917491,0,0.0123942140327711,3.49993000139997e-05,0.00616418346479696,0.000619533527696793
